=== PUBLICACIONES ===
ID,Tipo,Título,Plataforma,Fecha,Likes,Comentarios,Shares,Impresiones,Reach,Engagement Rate,Engagement Score,Hashtags
post_001,Z,Nuevo producto disponible,Facebook,2025-10-27 09:45,20,8,0,1496,1068,1.87%,44.0,"#nuevo, #oferta, #promocion, #producto"
post_002,Y,Viral: Momento increíble,Instagram,2025-10-13 09:45,264,59,26,3442,2854,10.14%,571.0,"#entretenimiento, #trending, #diversion, #viral"
post_003,Z,Descubre nuestra oferta,LinkedIn,2025-10-22 09:45,61,3,6,1646,1130,4.25%,100.0,"#promocion, #oferta, #nuevo, #producto"
post_004,Y,Trending: Lo mejor,Facebook,2025-10-23 09:45,16,12,0,797,657,3.51%,52.0,"#entretenimiento, #diversion, #trending, #viral"
post_005,X,Aprende aquello en minutos,Instagram,2025-11-01 09:45,148,38,25,1544,1286,13.67%,387.0,"#tutorial, #tips, #aprende, #educacion"
post_006,X,Cómo hacer Y en 5 pasos,Facebook,2025-11-01 09:45,206,28,17,1268,1063,19.79%,375.0,"#tutorial, #aprende, #educacion"
post_007,Z,Descubre nuestra promoción,Facebook,2025-11-07 09:45,102,15,7,4154,3546,2.99%,182.0,"#promocion, #producto, #nuevo, #oferta"
post_008,Z,Nuevo producto disponible,Facebook,2025-10-25 09:45,43,0,0,1013,864,4.24%,43.0,"#producto, #oferta, #promocion"
post_009,Y,Esto te va a sorprender,Twitter,2025-10-18 09:45,236,21,38,3885,2722,7.59%,489.0,"#trending, #viral, #diversion"
post_010,Y,No vas a creer lo que pasó,Facebook,2025-10-20 09:45,292,26,22,3146,2287,10.81%,480.0,"#diversion, #trending, #entretenimiento, #viral"
post_011,Z,Descubre nuestra promoción,Facebook,2025-10-24 09:45,104,12,2,2119,1560,5.57%,150.0,"#promocion, #nuevo, #producto, #oferta"
post_012,X,5 tips para mejorar tu habilidad,TikTok,2025-10-15 09:45,46,4,17,629,450,10.65%,143.0,"#educacion, #tips, #aprende, #tutorial"
post_013,X,Cómo hacer X en 5 pasos,LinkedIn,2025-11-04 09:45,86,23,18,1007,648,12.61%,245.0,"#educacion, #tips, #tutorial, #aprende"
post_014,Y,Trending: Lo último,Facebook,2025-10-13 09:45,299,26,17,3630,2680,9.42%,462.0,"#diversion, #trending, #viral, #entretenimiento"
post_015,Z,Lanzamiento: Solución,Facebook,2025-10-31 09:45,74,9,0,884,709,9.39%,101.0,"#producto, #promocion, #oferta, #nuevo"
post_016,Z,Lanzamiento: Solución,TikTok,2025-10-31 09:45,10,2,0,891,597,1.35%,16.0,"#producto, #promocion, #nuevo"
post_017,X,Cómo hacer Y en 5 pasos,LinkedIn,2025-11-01 09:45,299,62,39,2328,2031,17.18%,680.0,"#tips, #educacion, #tutorial"
post_018,Y,Trending: Lo mejor,Twitter,2025-10-25 09:45,65,7,17,859,710,10.36%,171.0,"#viral, #trending, #entretenimiento, #diversion"
post_019,Z,Lanzamiento: Servicio,Twitter,2025-11-11 09:45,152,11,3,2753,1941,6.03%,200.0,"#producto, #nuevo, #promocion"
post_020,Y,Trending: Lo nuevo,Twitter,2025-10-23 09:45,50,24,15,1398,953,6.37%,197.0,"#viral, #entretenimiento, #diversion, #trending"
post_021,X,5 tips para mejorar tu productividad,Facebook,2025-11-09 09:45,457,71,81,3379,2799,18.02%,1075.0,"#tutorial, #educacion, #aprende, #tips"
post_022,X,Cómo hacer X en 5 pasos,Twitter,2025-11-09 09:45,183,24,19,1178,999,19.19%,350.0,"#tips, #tutorial, #aprende"
post_023,X,Cómo hacer Y en 5 pasos,LinkedIn,2025-11-03 09:45,396,77,83,3693,3197,15.06%,1042.0,"#educacion, #aprende, #tutorial, #tips"
post_024,Z,Oferta especial: 19% descuento,LinkedIn,2025-11-09 09:45,8,0,0,1151,836,0.70%,8.0,"#oferta, #producto, #nuevo, #promocion"
post_025,Z,Descubre nuestra promoción,Twitter,2025-10-19 09:45,102,2,0,1878,1330,5.54%,108.0,"#promocion, #producto, #nuevo, #oferta"
post_026,X,5 tips para mejorar tu productividad,Facebook,2025-10-24 09:45,248,40,32,2362,2104,13.55%,528.0,"#aprende, #tutorial, #tips, #educacion"
post_027,X,5 tips para mejorar tu habilidad,Twitter,2025-11-11 09:45,144,13,12,1198,1020,14.11%,243.0,"#tutorial, #aprende, #tips, #educacion"
post_028,X,Tutorial completo: Método,Instagram,2025-11-02 09:45,95,10,10,572,488,20.10%,175.0,"#educacion, #aprende, #tips, #tutorial"
post_029,Z,Descubre nuestra oferta,Instagram,2025-10-31 09:45,111,17,2,4726,3047,2.75%,172.0,"#producto, #oferta, #promocion, #nuevo"
post_030,X,Cómo hacer Z en 5 pasos,TikTok,2025-11-01 09:45,453,75,60,4607,3332,12.76%,978.0,"#aprende, #tutorial, #tips, #educacion"

=== ANÁLISIS POR TIPO ===
Tipo,Nombre,Cantidad,Engagement Total,Engagement Promedio,Engagement Rate,Likes Promedio,Comentarios Promedio,Shares Promedio
Z,Promocional/Producto,11,886,80.54545454545455,4.06%,71.54545454545455,7.181818181818182,1.8181818181818181
Y,Entretenimiento/Viral,7,1532,218.85714285714286,8.31%,174.57142857142858,25.0,19.285714285714285
X,Tutoriales/Educativos,12,3639,303.25,15.56%,230.08333333333334,38.75,34.416666666666664
