base_url,source,medium,campaign,content,term,final_url
https://tusitio.com/webinar,facebook,cpc,webinar_ia,video_a_es,,https://tusitio.com/webinar?utm_source=facebook&utm_medium=cpc&utm_campaign=webinar_ia&utm_content=video_a_es
https://tusitio.com/webinar,google,search,webinar_ia,rs_headline_a,webinar+ia,https://tusitio.com/webinar?utm_source=google&utm_medium=search&utm_campaign=webinar_ia&utm_content=rs_headline_a&utm_term=webinar+ia
https://tusitio.com/webinar,tiktok,cpc,webinar_ia,hook_a_es,,https://tusitio.com/webinar?utm_source=tiktok&utm_medium=cpc&utm_campaign=webinar_ia&utm_content=hook_a_es
https://tusitio.com/webinar,linkedin,cpc,webinar_ia,single_image_a_es,,https://tusitio.com/webinar?utm_source=linkedin&utm_medium=cpc&utm_campaign=webinar_ia&utm_content=single_image_a_es








